Table,Column,Data_Type,Missing_Count,Missing_Percentage,Unique_Values,Duplicate_Count
Vendor_Master,VendorID,object,0,0.0,130,0
Vendor_Master,VendorName,object,0,0.0,99,31
Vendor_Master,Category,object,0,0.0,12,118
Vendor_Master,City,object,0,0.0,12,118
Vendor_Master,State,object,0,0.0,8,122
Vendor_Master,Address,object,0,0.0,128,2
Vendor_Master,BankAccountNo,int64,0,0.0,124,6
Vendor_Master,IFSC,object,0,0.0,130,0
Vendor_Master,GSTIN,object,5,3.85,125,4
Vendor_Master,OnboardedDate,datetime64[ns],0,0.0,128,2
Vendor_Master,ApprovedBy,object,0,0.0,29,101
Vendor_Master,PaymentTermsDays,int64,0,0.0,4,126
Vendor_Master,Status,object,0,0.0,1,129
Vendor_Master,Missing_GSTIN_Flag,int64,0,0.0,2,128
Vendor_Master,Shared_Bank_Account_Flag,int64,0,0.0,2,128
Vendor_Master,Missing_Approver_Flag,int64,0,0.0,1,129
Employees_Approvers,EmployeeID,object,0,0.0,65,0
Employees_Approvers,EmployeeName,object,0,0.0,61,4
Employees_Approvers,Department,object,0,0.0,10,55
Employees_Approvers,Role,object,0,0.0,6,59
Employees_Approvers,ApprovalLimit_INR,int64,0,0.0,6,59
Employees_Approvers,City,object,0,0.0,12,53
Employees_Approvers,DateJoined,datetime64[ns],0,0.0,63,2
Employees_Approvers,HomeAddress,object,0,0.0,65,0
Purchase_Orders,PO_ID,object,0,0.0,520,0
Purchase_Orders,VendorID,object,0,0.0,127,393
Purchase_Orders,PO_Date,datetime64[ns],0,0.0,271,249
Purchase_Orders,Department,object,0,0.0,10,510
Purchase_Orders,PO_Amount_INR,int64,0,0.0,439,81
Purchase_Orders,RaisedBy,object,0,0.0,65,455
Purchase_Orders,ApprovedBy,object,0,0.0,29,491
Purchase_Orders,Missing_Vendor_Flag,int64,0,0.0,1,519
Purchase_Orders,Missing_Approver_Flag,int64,0,0.0,1,519
Purchase_Orders,Invalid_PO_Amount_Flag,int64,0,0.0,1,519
Invoices_Payments,InvoiceID,object,0,0.0,644,0
Invoices_Payments,PO_ID,object,37,5.75,486,157
Invoices_Payments,VendorID,object,0,0.0,130,514
Invoices_Payments,Department,object,0,0.0,10,634
Invoices_Payments,InvoiceDate,datetime64[ns],0,0.0,283,361
Invoices_Payments,PaymentDate,datetime64[ns],0,0.0,306,338
Invoices_Payments,InvoiceAmount_INR,float64,4,0.62,568,75
Invoices_Payments,PaymentMethod,object,25,3.88,3,640
Invoices_Payments,ApprovedBy,object,0,0.0,29,615
Invoices_Payments,Status,object,0,0.0,3,641
Invoices_Payments,Missing_Invoice_Amount_Flag,int64,0,0.0,2,642
Invoices_Payments,Negative_Invoice_Flag,int64,0,0.0,2,642
Invoices_Payments,Zero_Invoice_Flag,int64,0,0.0,1,643
Invoices_Payments,Missing_PO_Flag,int64,0,0.0,2,642
Invoices_Payments,Invalid_PO_Flag,int64,0,0.0,2,642
Invoices_Payments,Invalid_Vendor_Flag,int64,0,0.0,1,643
Invoices_Payments,Invalid_Approver_Flag,int64,0,0.0,1,643
