VendorID,Invoice_Count,Total_Invoice_Value,Average_Payment_Delay,Late_Payments,Late_Payment_Percentage,VendorName,Category
V0040,1,52600.0,69.0,1,100.0,Sigma Overseas,Raw Material - Aluminium
V0108,1,17700.0,68.0,1,100.0,Balaji Impex,Electrical Components
V0007,3,69648.0,67.33333333333333,3,100.0,Prime & Co,Raw Material - Aluminium
V0019,4,286700.0,67.25,4,100.0,Global Associates,Machine Spares
V0006,3,382500.0,66.0,3,100.0,Krishna Solutions,MRO Supplies
V0048,5,442800.0,65.2,5,100.0,Jai Impex,Packaging
V0083,2,166300.0,64.5,2,100.0,Jai Overseas,Tooling & Dies
V0001,2,157300.0,64.0,2,100.0,Global Pvt Ltd,Raw Material - Steel
V0013,5,265900.0,63.8,5,100.0,Ganesh Associates,Raw Material - Steel
V0082,3,-24900.0,63.666666666666664,3,100.0,Metro Pvt Ltd,Machine Spares
V0081,10,1949152.0,63.6,10,100.0,Global Traders,Packaging
V0002,7,633200.0,63.42857142857143,7,100.0,Apex Associates,Contract Labour
V0077,2,101400.0,63.0,2,100.0,National Suppliers,Contract Labour
V0079,10,363833.0,62.3,10,100.0,Bharat Overseas,Facility & Housekeeping
V0042,8,171900.0,62.0,8,100.0,Bharat Associates,Packaging
V0110,4,3045500.0,60.75,4,100.0,Elite Solutions,Machine Spares
V0086,4,3168000.0,59.25,4,100.0,Shree Pvt Ltd,Consulting Services
V0051,1,46300.0,59.0,1,100.0,Ganesh Overseas,Raw Material - Aluminium
V0124,7,459200.0,58.285714285714285,7,100.0,Elite Enterprises,Electrical Components
V0056,9,334800.0,58.22222222222222,9,100.0,Prime Suppliers,Tooling & Dies
V0046,7,428000.0,57.714285714285715,7,100.0,National Overseas,Facility & Housekeeping
V0049,8,3170707.0,57.625,8,100.0,Star Enterprises,Contract Labour
V0017,8,403889.0,57.125,8,100.0,Jai Suppliers,Facility & Housekeeping
V0067,2,83300.0,55.5,2,100.0,Om Solutions,Machine Spares
V0078,4,239900.0,55.0,4,100.0,Sigma Associates,Raw Material - Steel
V0072,7,795848.0,54.285714285714285,7,100.0,Bharat Impex,IT & Software Services
V0087,7,682700.0,52.142857142857146,7,100.0,Vertex Impex,Contract Labour
V0058,7,370700.0,51.42857142857143,7,100.0,Apex Overseas,Tooling & Dies
V0085,6,895400.0,50.333333333333336,6,100.0,Balaji Overseas,Machine Spares
V0041,4,298200.0,50.25,4,100.0,National & Co,Packaging
V0029,5,153202.0,49.8,5,100.0,Sigma Traders,Raw Material - Aluminium
V0099,4,327900.0,49.5,4,100.0,Ganesh Engineering Works,Logistics & Freight
V0016,5,605500.0,49.2,5,100.0,Prime Corporation,Raw Material - Steel
V0044,6,440800.0,48.666666666666664,6,100.0,Shree Engineering Works,Raw Material - Steel
V0075,2,87500.0,48.5,2,100.0,Royal Pvt Ltd,Consulting Services
V0109,8,327235.0,48.5,8,100.0,Vertex Suppliers,Electrical Components
V0093,4,469300.0,48.5,4,100.0,Elite Engineering Works,Raw Material - Steel
V0005,6,351000.0,48.333333333333336,6,100.0,Ganesh Solutions,Packaging
V0012,2,422800.0,48.0,2,100.0,Om Corporation,MRO Supplies
V0115,2,129000.0,47.5,2,100.0,Sigma Suppliers,Raw Material - Steel
V0070,2,144500.0,46.5,2,100.0,Global Engineering Works,Raw Material - Steel
V0033,5,356700.0,45.6,5,100.0,Prime Engineering Works,Packaging
V0025,5,130200.0,45.4,5,100.0,Global Impex,MRO Supplies
V0021,9,367903.0,44.44444444444444,9,100.0,United Impex,IT & Software Services
