VendorID,VendorName,Category,City,Shared_Bank_Account_Flag,Missing_GSTIN_Flag,Total_Spend_INR,Spend_Percentage,Maverick_Invoice_Count,Maverick_Spend_INR,Vendor_Employee_Address_Match,Approver_Address_Match,Vendor_Employee_Relationship_Flag,Average_Payment_Delay,Late_Payments,Late_Payment_Percentage,Risk_Score,Risk_Category
V0072,Bharat Impex,IT & Software Services,Ludhiana,0,0,795848.0,0.87,1.0,27600.0,1.0,1.0,1,54.285714285714285,7,100.0,11.0,High
V0055,Bharat Enterprises,Packaging,Chennai,0,0,948200.0,1.03,0.0,0.0,1.0,1.0,1,20.333333333333332,9,100.0,8.0,High
V0048,Jai Impex,Packaging,Pune,0,0,442800.0,0.48,0.0,0.0,1.0,1.0,1,65.2,5,100.0,8.0,High
V0071,United Impex,Facility & Housekeeping,Noida,0,0,67800.0,0.07,0.0,0.0,1.0,1.0,1,40.5,2,100.0,8.0,High
V0091,Apex Corporation,Electrical Components,Ahmedabad,1,0,1509600.0,1.65,1.0,1460500.0,0.0,0.0,0,36.333333333333336,3,100.0,7.0,High
V0119,United Solutions,Machine Spares,Ahmedabad,1,0,702408.0,0.77,1.0,12800.0,0.0,0.0,0,41.69230769230769,13,100.0,7.0,High
V0111,Vertex Industries,MRO Supplies,Pune,1,0,341000.0,0.37,1.0,74300.0,0.0,0.0,0,16.4,5,100.0,7.0,High
V0128,Krishna & Co,Electrical Components,Rajkot,1,0,164200.0,0.18,1.0,106100.0,0.0,0.0,0,28.5,2,100.0,7.0,High
V0105,Vertex Associates,IT & Software Services,Ludhiana,0,0,9972900.0,10.88,1.0,33600.0,0.0,0.0,0,33.5,4,100.0,4.0,Medium
V0096,Vertex Solutions,Facility & Housekeeping,Noida,0,0,3564700.0,3.89,1.0,35800.0,0.0,0.0,0,30.7,10,100.0,4.0,Medium
V0110,Elite Solutions,Machine Spares,Noida,1,0,3045500.0,3.32,0.0,0.0,0.0,0.0,0,60.75,4,100.0,4.0,Medium
V0102,United Suppliers,Tooling & Dies,Coimbatore,1,0,1031033.0,1.12,0.0,0.0,0.0,0.0,0,33.285714285714285,7,100.0,4.0,Medium
V0061,Balaji Corporation,Contract Labour,Pune,0,0,867220.0,0.95,1.0,28800.0,0.0,0.0,0,31.0,7,100.0,4.0,Medium
V0014,United Overseas,Tooling & Dies,Jamshedpur,0,0,731500.0,0.8,2.0,503000.0,0.0,0.0,0,31.2,5,100.0,4.0,Medium
V0087,Vertex Impex,Contract Labour,Rajkot,0,0,682700.0,0.74,2.0,360300.0,0.0,0.0,0,52.142857142857146,7,100.0,4.0,Medium
V0103,United Solutions,Raw Material - Steel,Ahmedabad,0,0,633000.0,0.69,1.0,54800.0,0.0,0.0,0,33.93333333333333,15,100.0,4.0,Medium
V0098,Vertex Solutions,Electrical Components,Indore,1,0,591900.0,0.65,0.0,0.0,0.0,0.0,0,17.22222222222222,9,100.0,4.0,Medium
V0052,Horizon Suppliers,Facility & Housekeeping,Chennai,0,0,545700.0,0.6,1.0,71500.0,0.0,0.0,0,44.44444444444444,9,100.0,4.0,Medium
V0122,Ganesh Associates,MRO Supplies,Faridabad,0,0,542935.0,0.59,1.0,19600.0,0.0,0.0,0,31.416666666666668,12,100.0,4.0,Medium
V0117,Royal Industries,Raw Material - Aluminium,Ahmedabad,0,0,525000.0,0.57,1.0,32900.0,0.0,0.0,0,31.5,2,100.0,4.0,Medium
V0090,Royal Pvt Ltd,Tooling & Dies,Jamshedpur,0,0,518200.0,0.57,1.0,400000.0,0.0,0.0,0,32.0,4,100.0,4.0,Medium
V0050,Sunrise Industries,Contract Labour,Chennai,0,0,472200.0,0.52,1.0,23400.0,0.0,0.0,0,18.77777777777778,9,100.0,4.0,Medium
V0124,Elite Enterprises,Electrical Components,Ahmedabad,0,0,459200.0,0.5,1.0,97000.0,0.0,0.0,0,58.285714285714285,7,100.0,4.0,Medium
V0044,Shree Engineering Works,Raw Material - Steel,Pune,1,0,440800.0,0.48,0.0,0.0,0.0,0.0,0,48.666666666666664,6,100.0,4.0,Medium
V0046,National Overseas,Facility & Housekeeping,Noida,0,0,428000.0,0.47,1.0,11900.0,0.0,0.0,0,57.714285714285715,7,100.0,4.0,Medium
V0058,Apex Overseas,Tooling & Dies,Kanpur,0,0,370700.0,0.4,1.0,67700.0,0.0,0.0,0,51.42857142857143,7,100.0,4.0,Medium
