VendorID,InvoiceAmount_INR,VendorName,Category,City,Spend_Percentage,Cumulative_Spend_Percentage
V0105,9972900.0,Vertex Associates,IT & Software Services,Ludhiana,10.88,10.88
V0074,9934196.0,Metro Suppliers,Consulting Services,Coimbatore,10.84,21.72
V0080,9814500.0,Jai Suppliers,Tooling & Dies,Rajkot,10.71,32.43
V0096,3564700.0,Vertex Solutions,Facility & Housekeeping,Noida,3.89,36.32
V0089,3301700.0,Apex Industries,IT & Software Services,Ludhiana,3.6,39.92
V0049,3170707.0,Star Enterprises,Contract Labour,Indore,3.46,43.38
V0086,3168000.0,Shree Pvt Ltd,Consulting Services,Nashik,3.46,46.84
V0110,3045500.0,Elite Solutions,Machine Spares,Noida,3.32,50.16
V0047,3009600.0,Krishna Solutions,Facility & Housekeeping,Nashik,3.28,53.44
V0081,1949152.0,Global Traders,Packaging,Ludhiana,2.13,55.57
V0091,1509600.0,Apex Corporation,Electrical Components,Ahmedabad,1.65,57.22
V0102,1031033.0,United Suppliers,Tooling & Dies,Coimbatore,1.12,58.34
V0055,948200.0,Bharat Enterprises,Packaging,Chennai,1.03,59.37
V0085,895400.0,Balaji Overseas,Machine Spares,Noida,0.98,60.35
V0028,888700.0,Global Corporation,Facility & Housekeeping,Kanpur,0.97,61.32
V0061,867220.0,Balaji Corporation,Contract Labour,Pune,0.95,62.27
V0027,801400.0,Sigma Suppliers,Raw Material - Aluminium,Rajkot,0.87,63.14
V0072,795848.0,Bharat Impex,IT & Software Services,Ludhiana,0.87,64.01
V0031,787383.0,Om & Co,Consulting Services,Indore,0.86,64.87
V0125,784100.0,Om Traders,IT & Software Services,Indore,0.86,65.73
V0014,731500.0,United Overseas,Tooling & Dies,Jamshedpur,0.8,66.53
V0100,706100.0,Balaji Traders,MRO Supplies,Chennai,0.77,67.3
V0119,702408.0,United Solutions,Machine Spares,Ahmedabad,0.77,68.07
V0087,682700.0,Vertex Impex,Contract Labour,Rajkot,0.74,68.81
V0114,657700.0,Ganesh Suppliers,Facility & Housekeeping,Indore,0.72,69.53
V0059,645000.0,United Enterprises,Logistics & Freight,Ludhiana,0.7,70.23
V0002,633200.0,Apex Associates,Contract Labour,Coimbatore,0.69,70.92
V0103,633000.0,United Solutions,Raw Material - Steel,Ahmedabad,0.69,71.61
V0097,630400.0,Jai Overseas,Contract Labour,Jamshedpur,0.69,72.3
V0016,605500.0,Prime Corporation,Raw Material - Steel,Faridabad,0.66,72.96
V0098,591900.0,Vertex Solutions,Electrical Components,Indore,0.65,73.61
V0069,584200.0,Horizon Suppliers,IT & Software Services,Coimbatore,0.64,74.25
V0052,545700.0,Horizon Suppliers,Facility & Housekeeping,Chennai,0.6,74.85
V0122,542935.0,Ganesh Associates,MRO Supplies,Faridabad,0.59,75.44
V0117,525000.0,Royal Industries,Raw Material - Aluminium,Ahmedabad,0.57,76.01
V0090,518200.0,Royal Pvt Ltd,Tooling & Dies,Jamshedpur,0.57,76.58
V0079,487833.0,Bharat Overseas,Facility & Housekeeping,Ludhiana,0.53,77.11
V0050,472200.0,Sunrise Industries,Contract Labour,Chennai,0.52,77.63
V0093,469300.0,Elite Engineering Works,Raw Material - Steel,Ahmedabad,0.51,78.14
V0124,459200.0,Elite Enterprises,Electrical Components,Ahmedabad,0.5,78.64
V0095,451400.0,Balaji Suppliers,Raw Material - Steel,Pune,0.49,79.13
V0048,442800.0,Jai Impex,Packaging,Pune,0.48,79.61
V0044,440800.0,Shree Engineering Works,Raw Material - Steel,Pune,0.48,80.09
V0054,430600.0,Jai Traders,Logistics & Freight,Faridabad,0.47,80.56
V0046,428000.0,National Overseas,Facility & Housekeeping,Noida,0.47,81.03
V0010,423300.0,Royal Enterprises,Machine Spares,Pune,0.46,81.49
V0012,422800.0,Om Corporation,MRO Supplies,Nashik,0.46,81.95
V0107,413600.0,Shree Associates,Packaging,Coimbatore,0.45,82.4
V0017,403889.0,Jai Suppliers,Facility & Housekeeping,Pune,0.44,82.84
V0068,399300.0,Krishna Pvt Ltd,Consulting Services,Ludhiana,0.44,83.28
V0024,387300.0,Global Overseas,Tooling & Dies,Ludhiana,0.42,83.7
V0006,382500.0,Krishna Solutions,MRO Supplies,Chennai,0.42,84.12
V0058,370700.0,Apex Overseas,Tooling & Dies,Kanpur,0.4,84.52
V0021,367903.0,United Impex,IT & Software Services,Indore,0.4,84.92
V0043,364154.0,Ganesh & Co,Facility & Housekeeping,Ludhiana,0.4,85.32
V0033,356700.0,Prime Engineering Works,Packaging,Pune,0.39,85.71
V0112,355700.0,National Pvt Ltd,Raw Material - Steel,Ludhiana,0.39,86.1
V0005,351000.0,Ganesh Solutions,Packaging,Ludhiana,0.38,86.48
V0032,350400.0,Sunrise Industries,Tooling & Dies,Jamshedpur,0.38,86.86
V0111,341000.0,Vertex Industries,MRO Supplies,Pune,0.37,87.23
V0056,334800.0,Prime Suppliers,Tooling & Dies,Kanpur,0.37,87.6
V0099,327900.0,Ganesh Engineering Works,Logistics & Freight,Chennai,0.36,87.96
V0109,327235.0,Vertex Suppliers,Electrical Components,Chennai,0.36,88.32
V0121,317400.0,Elite & Co,Raw Material - Aluminium,Coimbatore,0.35,88.67
V0063,304100.0,Bharat Industries,Consulting Services,Pune,0.33,89.0
V0041,298200.0,National & Co,Packaging,Rajkot,0.33,89.33
V0019,286700.0,Global Associates,Machine Spares,Jamshedpur,0.31,89.64
V0123,281088.0,Bharat Associates,Electrical Components,Rajkot,0.31,89.95
V0036,268200.0,Bharat Impex,Machine Spares,Rajkot,0.29,90.24
V0013,265900.0,Ganesh Associates,Raw Material - Steel,Ludhiana,0.29,90.53
V0113,265000.0,United Overseas,Packaging,Nashik,0.29,90.82
V0084,262000.0,Jai Engineering Works,Logistics & Freight,Kanpur,0.29,91.11
V0129,262000.0,Horizon Enterprises,Logistics & Freight,Jamshedpur,0.29,91.4
V0045,260400.0,National Suppliers,Logistics & Freight,Faridabad,0.28,91.68
V0023,254600.0,Sigma Traders,Logistics & Freight,Faridabad,0.28,91.96
V0034,244800.0,Apex Solutions,Machine Spares,Ludhiana,0.27,92.23
V0078,239900.0,Sigma Associates,Raw Material - Steel,Ahmedabad,0.26,92.49
V0092,239300.0,Royal Engineering Works,Contract Labour,Ludhiana,0.26,92.75
V0060,237700.0,Ganesh Industries,MRO Supplies,Jamshedpur,0.26,93.01
V0011,223600.0,Horizon Impex,Facility & Housekeeping,Chennai,0.24,93.25
V0035,223500.0,Balaji & Co,Packaging,Kanpur,0.24,93.49
V0104,221300.0,Apex Traders,Tooling & Dies,Indore,0.24,93.73
V0064,218200.0,Prime Industries,Tooling & Dies,Noida,0.24,93.97
V0101,209900.0,Balaji Corporation,Logistics & Freight,Nashik,0.23,94.2
V0076,203800.0,Bharat & Co,Packaging,Rajkot,0.22,94.42
V0009,190400.0,Bharat Impex,Electrical Components,Ludhiana,0.21,94.63
V0003,188700.0,National Associates,Tooling & Dies,Rajkot,0.21,94.84
V0094,185100.0,National Industries,Machine Spares,Chennai,0.2,95.04
