InvoiceID,PO_ID,VendorID,Department,InvoiceDate,PaymentDate,InvoiceAmount_INR,PaymentMethod,ApprovedBy,Status,Missing_Invoice_Amount_Flag,Negative_Invoice_Flag,Zero_Invoice_Flag,Missing_PO_Flag,Invalid_PO_Flag,Invalid_Vendor_Flag,Invalid_Approver_Flag
INV000606,,V0046,Logistics,2024-04-07,2024-04-30,11900.0,Cheque,EMP0035,Paid,0,0,0,1,0,0,0
INV000600,,V0091,Quality,2025-03-05,2025-04-07,1460500.0,Bank Transfer,EMP0026,PAID,0,0,0,1,0,0,0
INV000607,,V0087,Admin,2025-03-14,2025-04-08,19400.0,,EMP0031,Paid,0,0,0,1,0,0,0
INV000617,,V0061,Procurement,2024-04-13,2024-04-23,28800.0,Bank Transfer,EMP0029,Paid,0,0,0,1,0,0,0
INV000620,,V0014,IT,2024-05-27,2024-06-12,14500.0,Cheque,EMP0039,paid,0,0,0,1,0,0,0
INV000608,,V0120,HR,2024-05-20,2024-06-28,4900.0,,EMP0003,PAID,0,0,0,1,0,0,0
INV000598,,V0122,Sales,2024-05-14,2024-05-28,19600.0,Bank Transfer,EMP0018,paid,0,0,0,1,0,0,0
INV000610,,V0096,IT,2024-08-15,2024-08-26,35800.0,Cheque,EMP0054,PAID,0,0,0,1,0,0,0
INV000597,,V0014,Procurement,2024-07-02,2024-08-09,488500.0,Cheque,EMP0039,Paid,0,0,0,1,0,0,0
INV000622,,V0106,IT,2024-11-05,2024-11-30,46900.0,Bank Transfer,EMP0049,Paid,0,0,0,1,0,0,0
INV000602,,V0119,Quality,2024-05-30,2024-06-07,12800.0,Cheque,EMP0036,Paid,0,0,0,1,0,0,0
INV000636,,V0036,Sales,2024-12-09,2024-12-19,134100.0,Cheque,EMP0008,PAID,0,0,0,1,0,0,0
INV000629,,V0127,Production,2024-11-13,2024-12-04,10500.0,Bank Transfer,EMP0052,Paid,0,0,0,1,0,0,0
INV000630,,V0087,Sales,2024-05-08,2024-05-17,340900.0,Cheque,EMP0031,Paid,0,0,0,1,0,0,0
INV000626,,V0036,Sales,2024-12-08,2024-12-25,134100.0,Cheque,EMP0008,Paid,0,0,0,1,0,0,0
INV000618,,V0111,Production,2025-02-01,2025-02-13,74300.0,Bank Transfer,EMP0029,Paid,0,0,0,1,0,0,0
INV000605,,V0128,Quality,2024-11-29,2024-12-20,106100.0,Cheque,EMP0010,Paid,0,0,0,1,0,0,0
INV000621,,V0099,Logistics,2024-11-26,2024-12-05,62600.0,Cheque,EMP0046,Paid,0,0,0,1,0,0,0
INV000627,,V0103,Production,2024-07-01,2024-08-06,54800.0,Bank Transfer,EMP0008,Paid,0,0,0,1,0,0,0
INV000604,,V0104,Finance,2024-12-29,2025-01-17,10200.0,Cheque,EMP0029,PAID,0,0,0,1,0,0,0
INV000625,,V0117,Logistics,2024-08-14,2024-08-30,32900.0,Bank Transfer,EMP0009,Paid,0,0,0,1,0,0,0
INV000614,,V0050,Production,2024-04-07,2024-05-08,23400.0,Bank Transfer,EMP0039,PAID,0,0,0,1,0,0,0
INV000611,,V0025,Sales,2024-11-23,2024-12-13,21900.0,Bank Transfer,EMP0036,Paid,0,0,0,1,0,0,0
INV000596,,V0058,Maintenance,2024-06-29,2024-07-20,67700.0,Cheque,EMP0031,Paid,0,0,0,1,0,0,0
INV000616,,V0078,Maintenance,2024-08-24,2024-09-14,71100.0,Bank Transfer,EMP0044,paid,0,0,0,1,0,0,0
INV000601,,V0062,Procurement,2025-01-21,2025-02-17,38100.0,Cheque,EMP0036,PAID,0,0,0,1,0,0,0
INV000609,,V0105,HR,2025-02-07,2025-03-01,33600.0,Cheque,EMP0035,Paid,0,0,0,1,0,0,0
INV000624,,V0090,Procurement,2024-10-16,2024-11-11,400000.0,Cheque,EMP0054,Paid,0,0,0,1,0,0,0
INV000628,,V0121,Maintenance,2025-01-02,2025-02-03,15500.0,,EMP0049,paid,0,0,0,1,0,0,0
INV000619,,V0124,Finance,2025-02-04,2025-02-17,97000.0,Bank Transfer,EMP0008,PAID,0,0,0,1,0,0,0
INV000613,,V0052,Procurement,2025-01-06,2025-01-11,71500.0,Bank Transfer,EMP0055,Paid,0,0,0,1,0,0,0
INV000603,,V0056,IT,2024-10-22,2024-11-26,67200.0,Cheque,EMP0004,Paid,0,0,0,1,0,0,0
INV000599,,V0060,Finance,2024-12-10,2025-01-10,110600.0,Bank Transfer,EMP0018,Paid,0,0,0,1,0,0,0
INV000612,,V0056,Quality,2024-12-23,2025-01-18,65000.0,Cheque,EMP0004,paid,0,0,0,1,0,0,0
INV000643,,V0113,HR,2025-03-21,2025-04-05,15300.0,Bank Transfer,EMP0046,PAID,0,0,0,1,0,0,0
INV000623,,V0072,Procurement,2024-05-08,2024-05-30,27600.0,Cheque,EMP0030,Paid,0,0,0,1,0,0,0
INV000615,,V0113,HR,2025-03-17,2025-04-19,15300.0,Bank Transfer,EMP0046,Paid,0,0,0,1,0,0,0
