InvoiceID,PO_ID,VendorID,Department,InvoiceDate,PaymentDate,InvoiceAmount_INR,PaymentMethod,ApprovedBy,Status,Missing_Invoice_Amount_Flag,Negative_Invoice_Flag,Zero_Invoice_Flag,Missing_PO_Flag,Invalid_PO_Flag,Invalid_Vendor_Flag,Invalid_Approver_Flag,Duplicate_Group_Count
INV000465,PO00405,V0017,Maintenance,2025-03-21,2025-05-28,114789.0,Cheque,EMP0021,Paid,0,0,0,0,0,0,0,2
INV000641,PO00405,V0017,Maintenance,2025-03-25,2025-04-12,114789.0,Cheque,EMP0021,Paid,0,0,0,0,0,0,0,2
INV000460,PO00403,V0021,Production,2025-01-01,2025-02-23,6603.0,Bank Transfer,EMP0052,Paid,0,0,0,0,0,0,0,2
INV000644,PO00403,V0021,Production,2025-01-05,2025-01-25,6603.0,Bank Transfer,EMP0052,PAID,0,0,0,0,0,0,0,2
INV000379,PO00324,V0022,Sales,2025-03-13,2025-04-09,59900.0,Bank Transfer,EMP0003,PAID,0,0,0,0,0,0,0,2
INV000642,PO00324,V0022,Sales,2025-03-14,2025-03-29,59900.0,Bank Transfer,EMP0003,Paid,0,0,0,0,0,0,0,2
INV000636,,V0036,Sales,2024-12-09,2024-12-19,134100.0,Cheque,EMP0008,PAID,0,0,0,1,0,0,0,2
INV000626,,V0036,Sales,2024-12-08,2024-12-25,134100.0,Cheque,EMP0008,Paid,0,0,0,1,0,0,0,2
INV000640,PO00375,V0045,Quality,2024-06-30,2024-07-19,90100.0,Bank Transfer,EMP0010,paid,0,0,0,0,0,0,0,2
INV000431,PO00375,V0045,Quality,2024-06-27,2024-07-14,90100.0,,EMP0010,Paid,0,0,0,0,0,0,0,2
INV000635,PO00239,V0049,Finance,2025-02-16,2025-03-01,6707.0,Bank Transfer,EMP0053,paid,0,0,0,0,0,0,0,2
INV000272,PO00239,V0049,Finance,2025-02-15,2025-04-24,6707.0,Bank Transfer,EMP0053,Paid,0,0,0,0,0,0,0,2
INV000639,PO00219,V0058,Production,2025-03-31,2025-04-11,60800.0,Bank Transfer,EMP0031,Paid,0,0,0,0,0,0,0,2
INV000253,PO00219,V0058,Production,2025-03-29,2025-06-01,60800.0,Bank Transfer,EMP0031,paid,0,0,0,0,0,0,0,2
INV000573,PO00502,V0071,Admin,2024-06-19,2024-08-23,33900.0,Cheque,EMP0051,Paid,0,0,0,0,0,0,0,2
INV000631,PO00502,V0071,Admin,2024-06-23,2024-07-09,33900.0,Cheque,EMP0051,Paid,0,0,0,0,0,0,0,2
INV000455,PO00398,V0095,Maintenance,2025-02-11,2025-03-11,96700.0,NEFT/RTGS,EMP0004,paid,0,0,0,0,0,0,0,2
INV000633,PO00398,V0095,Maintenance,2025-02-15,2025-02-26,96700.0,NEFT/RTGS,EMP0004,Paid,0,0,0,0,0,0,0,2
INV000632,PO00384,V0101,Sales,2025-03-27,2025-04-12,40800.0,Bank Transfer,EMP0013,paid,0,0,0,0,0,0,0,2
INV000440,PO00384,V0101,Sales,2025-03-26,2025-05-03,40800.0,Bank Transfer,EMP0013,PAID,0,0,0,0,0,0,0,2
INV000643,,V0113,HR,2025-03-21,2025-04-05,15300.0,Bank Transfer,EMP0046,PAID,0,0,0,1,0,0,0,2
INV000615,,V0113,HR,2025-03-17,2025-04-19,15300.0,Bank Transfer,EMP0046,Paid,0,0,0,1,0,0,0,2
INV000637,PO00249,V0119,Quality,2024-05-03,2024-05-19,3808.0,Bank Transfer,EMP0036,paid,0,0,0,0,0,0,0,2
INV000285,PO00249,V0119,Quality,2024-04-29,2024-06-11,3808.0,Bank Transfer,EMP0036,PAID,0,0,0,0,0,0,0,2
INV000634,PO00164,V0119,HR,2025-03-29,2025-04-16,113400.0,Bank Transfer,EMP0036,PAID,0,0,0,0,0,0,0,2
INV000193,PO00164,V0119,HR,2025-03-27,2025-05-11,113400.0,Bank Transfer,EMP0036,Paid,0,0,0,0,0,0,0,2
